x,y
-24.99,2.29
-16.37,1.8
-15.79,1.81
-3.91,2.03
-3.9,2.43
-0.59,2.42
-0.47,2.05
11.06,1.78
11.6,1.74
11.72,1.96
13.28,1.92
17.71,1.92
18.11,2.84
18.66,2.86
31.85,9.59
32.51,9.57
32.6,9.43
37.87,9.66
37.87,9.45
37.87,9.45
38.62,9.44
47.36,5.65
47.99,5.63
48.04,5.75
48.21,5.78
48.32,4.89
54.51,4.83
59.73,4.81
63.19,3.04
66.09,3.17
70.03,3.02
77.32,2.91
83.08,2.85
88.1,2.74
93.75,2.47
96.46,2.35
98.7,2.18
99.93,1.5
101.5,1.38
105.24,2.28
106.29,2.39
107.78,2.48
113.32,2.44
114.8,2.41
115.66,2.3
117.18,1.75
117.97,1.76
119.51,2.31
128.2,2.49
139.53,2.58
150.97,2.64
162.84,2.78
175.54,2.9
183.45,2.94
187.12,3.17
189.06,3.17
189.73,2.77
190.62,2.69
191.46,3.26
193.29,3.3
193.72,3.17
194.16,3.13
194.73,3.43
195.29,3.58
201.18,3.36
201.92,3.14
202.47,3.15
203.04,3.23
213.68,3.34
224.86,3.48
233.03,3.73
233.46,3.61
233.81,3.62
234.32,3.95
235.36,4.1
238.57,4.26
241.43,4.22
242.2,4.13
242.82,4.1
245.14,4.09
246.9,4.11
247.26,2.41
248.04,2.33
248.25,0.92
250.77,0.15
252.73,-0.58
254.67,-0.96
256.85,-2.02
260.48,-2.29
263.86,-2.45
264.41,-2.5
270.61,-2.96
270.9,-2.98
274.6,-3.04
277.82,-3.14
278.72,-3.17
283.09,-3.33
287.46,-3.45
289.06,-3.48
292.21,-3.5
297.14,-3.57
301.97,-3.65
305.15,-3.69
306.81,-3.81
311.65,-3.93
313.2,-3.97
316.5,-4.03
321.18,-3.92
321.23,-3.92
325.1,-4.0
325.98,-4.02
330.79,-4.35
332.95,-4.13
335.61,-4.12
340.4,-4.17
344.63,-4.22
345.41,-4.23
350.47,-4.31
352.65,-4.33
355.46,-4.37
360.52,-4.4
360.63,-4.4
364.66,-4.47
365.6,-4.48
368.7,-4.5
370.65,-4.53
375.67,-4.51
376.85,-4.53
380.66,-4.57
380.96,-4.58
385.54,-4.76
388.91,-4.83
390.23,-4.83
394.97,-4.83
396.58,-4.86
399.92,-4.92
404.46,-4.96
404.87,-4.96
409.94,-5.08
412.42,-5.22
415.08,-5.28
416.44,-5.24
420.21,-5.29
420.5,-5.29
425.27,-5.47
428.51,-5.61
430.16,-5.67
435.11,-5.71
436.39,-5.78
440.17,-5.93
444.44,-6.07
445.2,-6.09
450.21,-6.21
452.35,-6.27
455.27,-6.5
460.36,-6.68
465.38,-6.73
468.32,-6.84
470.48,-6.87
472.33,-6.96
475.62,-7.22
476.43,-7.25
480.72,-7.4
484.59,-7.56
485.72,-7.63
490.74,-7.81
492.84,-7.9
495.62,-8.04
500.38,-8.31
500.87,-8.34
505.03,-8.55
509.62,-8.8
514.49,-9.0
516.4,-9.1
519.48,-9.19
520.46,-9.21
524.53,-9.19
524.56,-9.19
528.82,-9.24
529.57,-9.22
533.21,-9.25
534.62,-9.3
541.69,-9.54
543.59,-9.56
550.76,-8.17
552.17,-7.55
555.55,-5.82
559.47,-4.87
560.38,-4.75
562.4,-4.22
564.41,-3.84
564.85,-3.66
566.58,-3.29
567.89,-3.05
568.73,-2.78
570.11,-2.22
571.81,-0.78
574.31,-0.25
575.35,0.42
576.52,1.52
577.49,1.56
579.77,2.65
581.09,2.9
583.33,3.1
589.27,3.01
596.61,3.11
597.71,3.86
598.8,3.85
601.13,5.08
604.97,5.05
605.09,5.51
605.46,5.49
605.46,5.66
605.46,5.49
606.0,5.49
606.05,5.93
606.62,5.93
606.83,2.61
607.38,2.36
607.4,2.22
613.46,2.16
613.86,2.12
613.94,2.27
615.16,2.32
615.26,2.74
615.99,2.75
